transaction_id,date,store_id,product_id,quantity,unit_price,total_amount
TX10099,2026-07-08,S001,P007,2,9.99,19.98
TX10100,2026-07-08,S001,P007,2,9.99,19.98
TX10101,2026-07-08,S001,P007,1,9.99,9.99
TX10102,2026-07-08,S001,P008,3,12.99,38.97
TX10103,2026-07-08,S001,P008,2,12.99,25.98
TX10104,2026-07-08,S001,P009,1,14.99,14.99
TX10105,2026-07-08,S001,P009,3,14.99,44.97
TX10106,2026-07-08,S001,P009,2,14.99,29.98
TX10107,2026-07-08,S001,P009,1,14.99,14.99
TX10108,2026-07-08,S001,P009,1,14.99,14.99
TX10109,2026-07-08,S001,P009,1,14.99,14.99
TX10110,2026-07-08,S001,P009,2,14.99,29.98
TX10111,2026-07-08,S001,P009,1,14.99,14.99
TX10112,2026-07-08,S001,P010,2,19.99,39.98
TX10113,2026-07-08,S001,P010,1,19.99,19.99
TX10114,2026-07-08,S001,P010,1,19.99,19.99
TX10115,2026-07-08,S001,P010,2,19.99,39.98
TX10116,2026-07-08,S001,P011,3,24.99,74.97
TX10117,2026-07-08,S001,P011,2,24.99,49.98
TX10118,2026-07-08,S001,P012,1,59.99,59.99
TX10119,2026-07-08,S001,P012,1,59.99,59.99
TX10120,2026-07-08,S001,P013,2,22.99,45.98
TX10121,2026-07-08,S001,P013,2,22.99,45.98
TX10122,2026-07-08,S001,P013,1,22.99,22.99
TX10123,2026-07-08,S001,P015,2,11.99,23.98
TX10124,2026-07-08,S001,P015,1,11.99,11.99
TX10125,2026-07-08,S001,P015,2,11.99,23.98
TX10126,2026-07-08,S002,P001,1,29.99,29.99
TX10127,2026-07-08,S002,P001,1,29.99,29.99
TX10128,2026-07-08,S002,P001,3,29.99,89.97
TX10129,2026-07-08,S002,P001,3,29.99,89.97
TX10130,2026-07-08,S002,P002,3,89.99,269.97
TX10131,2026-07-08,S002,P002,2,89.99,179.98
TX10132,2026-07-08,S002,P003,1,39.99,39.99
TX10133,2026-07-08,S002,P004,1,149.99,149.99
TX10134,2026-07-08,S002,P006,1,34.99,34.99
TX10135,2026-07-08,S002,P007,2,9.99,19.98
TX10136,2026-07-08,S002,P008,2,12.99,25.98
TX10137,2026-07-08,S002,P008,1,12.99,12.99
TX10138,2026-07-08,S002,P009,1,14.99,14.99
TX10139,2026-07-08,S002,P009,1,14.99,14.99
TX10140,2026-07-08,S002,P009,2,14.99,29.98
TX10141,2026-07-08,S002,P010,2,19.99,39.98
TX10142,2026-07-08,S002,P010,1,19.99,19.99
TX10143,2026-07-08,S002,P010,1,19.99,19.99
TX10144,2026-07-08,S002,P010,1,19.99,19.99
TX10145,2026-07-08,S002,P011,1,24.99,24.99
TX10146,2026-07-08,S002,P013,1,22.99,22.99
TX10147,2026-07-08,S002,P015,1,11.99,11.99
TX10148,2026-07-08,S002,P015,3,11.99,35.97
TX10149,2026-07-08,S003,P001,1,29.99,29.99
TX10150,2026-07-08,S003,P002,2,89.99,179.98
TX10151,2026-07-08,S003,P003,1,39.99,39.99
TX10152,2026-07-08,S003,P003,2,39.99,79.98
TX10153,2026-07-08,S003,P004,1,149.99,149.99
TX10154,2026-07-08,S003,P006,1,34.99,34.99
TX10155,2026-07-08,S003,P008,1,12.99,12.99
TX10156,2026-07-08,S003,P009,3,14.99,44.97
TX10157,2026-07-08,S003,P011,1,24.99,24.99
TX10158,2026-07-08,S003,P013,3,22.99,68.97
TX10159,2026-07-08,S003,P015,1,11.99,11.99
TX10160,2026-07-08,S004,P001,3,29.99,89.97
TX10161,2026-07-08,S004,P003,1,39.99,39.99
TX10162,2026-07-08,S004,P006,1,34.99,34.99
TX10163,2026-07-08,S004,P007,3,9.99,29.97
TX10164,2026-07-08,S004,P007,1,9.99,9.99
TX10165,2026-07-08,S004,P008,2,12.99,25.98
TX10166,2026-07-08,S004,P013,1,22.99,22.99
TX10167,2026-07-08,S004,P015,1,11.99,11.99
TX10168,2026-07-09,S001,P001,1,29.99,29.99
TX10169,2026-07-09,S001,P001,2,29.99,59.98
TX10170,2026-07-09,S001,P001,2,29.99,59.98
TX10171,2026-07-09,S001,P001,1,29.99,29.99
TX10172,2026-07-09,S001,P001,2,29.99,59.98
TX10173,2026-07-09,S001,P001,1,29.99,29.99
TX10174,2026-07-09,S001,P002,3,89.99,269.97
TX10175,2026-07-09,S001,P002,3,89.99,269.97
TX10176,2026-07-09,S001,P003,2,39.99,79.98
TX10177,2026-07-09,S001,P003,3,39.99,119.97
TX10178,2026-07-09,S001,P003,1,39.99,39.99
TX10179,2026-07-09,S001,P003,1,39.99,39.99
TX10180,2026-07-09,S001,P004,1,149.99,149.99
TX10181,2026-07-09,S001,P004,2,149.99,299.98
TX10182,2026-07-09,S001,P006,2,34.99,69.98
TX10183,2026-07-09,S001,P007,3,9.99,29.97
TX10184,2026-07-09,S001,P007,3,9.99,29.97
TX10185,2026-07-09,S001,P007,3,9.99,29.97
TX10186,2026-07-09,S001,P007,1,9.99,9.99
TX10187,2026-07-09,S001,P007,1,9.99,9.99
TX10188,2026-07-09,S001,P007,1,9.99,9.99
TX10189,2026-07-09,S001,P008,1,12.99,12.99
TX10190,2026-07-09,S001,P008,3,12.99,38.97
TX10191,2026-07-09,S001,P009,3,14.99,44.97
TX10192,2026-07-09,S001,P009,1,14.99,14.99
TX10193,2026-07-09,S001,P009,1,14.99,14.99
TX10194,2026-07-09,S001,P010,2,19.99,39.98
TX10195,2026-07-09,S001,P010,2,19.99,39.98
TX10196,2026-07-09,S001,P012,1,59.99,59.99
TX10197,2026-07-09,S001,P012,1,59.99,59.99
TX10198,2026-07-09,S001,P013,2,22.99,45.98
TX10199,2026-07-09,S001,P013,2,22.99,45.98
TX10200,2026-07-09,S001,P013,1,22.99,22.99
TX10201,2026-07-09,S001,P013,1,22.99,22.99
TX10202,2026-07-09,S001,P013,1,22.99,22.99
TX10203,2026-07-09,S001,P013,1,22.99,22.99
TX10204,2026-07-09,S001,P014,1,32.99,32.99
TX10205,2026-07-09,S001,P015,1,11.99,11.99
TX10206,2026-07-09,S002,P001,2,29.99,59.98
TX10207,2026-07-09,S002,P003,2,39.99,79.98
TX10208,2026-07-09,S002,P003,1,39.99,39.99
TX10209,2026-07-09,S002,P003,2,39.99,79.98
TX10210,2026-07-09,S002,P004,1,149.99,149.99
TX10211,2026-07-09,S002,P005,1,49.99,49.99
TX10212,2026-07-09,S002,P006,1,34.99,34.99
TX10213,2026-07-09,S002,P007,2,9.99,19.98
TX10214,2026-07-09,S002,P007,3,9.99,29.97
TX10215,2026-07-09,S002,P007,1,9.99,9.99
TX10216,2026-07-09,S002,P007,1,9.99,9.99
TX10217,2026-07-09,S002,P008,3,12.99,38.97
TX10218,2026-07-09,S002,P008,2,12.99,25.98
TX10219,2026-07-09,S002,P009,2,14.99,29.98
TX10220,2026-07-09,S002,P009,1,14.99,14.99
TX10221,2026-07-09,S002,P009,3,14.99,44.97
TX10222,2026-07-09,S002,P010,3,19.99,59.97
TX10223,2026-07-09,S002,P011,3,24.99,74.97
TX10224,2026-07-09,S002,P011,1,24.99,24.99
TX10225,2026-07-09,S002,P012,2,59.99,119.98
TX10226,2026-07-09,S002,P013,2,22.99,45.98
TX10227,2026-07-09,S002,P013,2,22.99,45.98
TX10228,2026-07-09,S002,P013,3,22.99,68.97
TX10229,2026-07-09,S002,P013,1,22.99,22.99
TX10230,2026-07-09,S002,P015,2,11.99,23.98
TX10231,2026-07-09,S002,P015,1,11.99,11.99
TX10232,2026-07-09,S003,P001,3,29.99,89.97
TX10233,2026-07-09,S003,P001,2,29.99,59.98
TX10234,2026-07-09,S003,P001,1,29.99,29.99
TX10235,2026-07-09,S003,P004,1,149.99,149.99
TX10236,2026-07-09,S003,P004,1,149.99,149.99
TX10237,2026-07-09,S003,P004,1,149.99,149.99
TX10238,2026-07-09,S003,P004,1,149.99,149.99
TX10239,2026-07-09,S003,P006,1,34.99,34.99
TX10240,2026-07-09,S003,P006,1,34.99,34.99
TX10241,2026-07-09,S003,P007,3,9.99,29.97
TX10242,2026-07-09,S003,P007,1,9.99,9.99
TX10243,2026-07-09,S003,P008,3,12.99,38.97
TX10244,2026-07-09,S003,P009,1,14.99,14.99
TX10245,2026-07-09,S003,P009,1,14.99,14.99
TX10246,2026-07-09,S003,P009,1,14.99,14.99
TX10247,2026-07-09,S003,P009,3,14.99,44.97
TX10248,2026-07-09,S003,P009,2,14.99,29.98
TX10249,2026-07-09,S003,P012,1,59.99,59.99
TX10250,2026-07-09,S003,P012,1,59.99,59.99
TX10251,2026-07-09,S003,P013,1,22.99,22.99
TX10252,2026-07-09,S003,P015,1,11.99,11.99
TX10253,2026-07-09,S004,P001,2,29.99,59.98
TX10254,2026-07-09,S004,P001,1,29.99,29.99
TX10255,2026-07-09,S004,P002,1,89.99,89.99
TX10256,2026-07-09,S004,P003,1,39.99,39.99
TX10257,2026-07-09,S004,P004,2,149.99,299.98
TX10258,2026-07-09,S004,P006,1,34.99,34.99
TX10259,2026-07-09,S004,P007,2,9.99,19.98
TX10260,2026-07-09,S004,P007,1,9.99,9.99
TX10261,2026-07-09,S004,P008,1,12.99,12.99
TX10262,2026-07-10,S001,P001,1,29.99,29.99
TX10263,2026-07-10,S001,P001,3,29.99,89.97
TX10264,2026-07-10,S001,P001,2,29.99,59.98
TX10265,2026-07-10,S001,P002,1,89.99,89.99
TX10266,2026-07-10,S001,P003,2,39.99,79.98
TX10267,2026-07-10,S001,P004,1,149.99,149.99
TX10268,2026-07-10,S001,P006,2,34.99,69.98
TX10269,2026-07-10,S001,P007,2,9.99,19.98
TX10270,2026-07-10,S001,P007,1,9.99,9.99
TX10271,2026-07-10,S001,P007,1,9.99,9.99
TX10272,2026-07-10,S001,P007,1,9.99,9.99
TX10273,2026-07-10,S001,P007,3,9.99,29.97
TX10274,2026-07-10,S001,P007,1,9.99,9.99
TX10275,2026-07-10,S001,P008,2,12.99,25.98
TX10276,2026-07-10,S001,P008,2,12.99,25.98
TX10277,2026-07-10,S001,P008,1,12.99,12.99
TX10278,2026-07-10,S001,P009,2,14.99,29.98
TX10279,2026-07-10,S001,P009,3,14.99,44.97
TX10280,2026-07-10,S001,P009,1,14.99,14.99
TX10281,2026-07-10,S001,P009,2,14.99,29.98
TX10282,2026-07-10,S001,P010,3,19.99,59.97
TX10283,2026-07-10,S001,P012,1,59.99,59.99
TX10284,2026-07-10,S001,P013,1,22.99,22.99
TX10285,2026-07-10,S001,P013,1,22.99,22.99
TX10286,2026-07-10,S001,P013,2,22.99,45.98
TX10287,2026-07-10,S001,P013,2,22.99,45.98
TX10288,2026-07-10,S001,P015,2,11.99,23.98
TX10289,2026-07-10,S001,P015,1,11.99,11.99
TX10290,2026-07-10,S001,P015,1,11.99,11.99
TX10291,2026-07-10,S002,P001,1,29.99,29.99
TX10292,2026-07-10,S002,P001,1,29.99,29.99
TX10293,2026-07-10,S002,P001,2,29.99,59.98
TX10294,2026-07-10,S002,P002,2,89.99,179.98
TX10295,2026-07-10,S002,P003,1,39.99,39.99
TX10296,2026-07-10,S002,P006,1,34.99,34.99
TX10297,2026-07-10,S002,P007,1,9.99,9.99
TX10298,2026-07-10,S002,P007,2,9.99,19.98
TX10299,2026-07-10,S002,P008,2,12.99,25.98
TX10300,2026-07-10,S002,P008,1,12.99,12.99
TX10301,2026-07-10,S002,P009,1,14.99,14.99
TX10302,2026-07-10,S002,P009,2,14.99,29.98
TX10303,2026-07-10,S002,P009,3,14.99,44.97
TX10304,2026-07-10,S002,P009,1,14.99,14.99
TX10305,2026-07-10,S002,P009,1,14.99,14.99
TX10306,2026-07-10,S002,P009,1,14.99,14.99
TX10307,2026-07-10,S002,P010,2,19.99,39.98
TX10308,2026-07-10,S002,P011,1,24.99,24.99
TX10309,2026-07-10,S002,P013,1,22.99,22.99
TX10310,2026-07-10,S002,P013,1,22.99,22.99
TX10311,2026-07-10,S002,P015,1,11.99,11.99
TX10312,2026-07-10,S003,P001,1,29.99,29.99
TX10313,2026-07-10,S003,P002,1,89.99,89.99
TX10314,2026-07-10,S003,P004,1,149.99,149.99
TX10315,2026-07-10,S003,P005,1,49.99,49.99
TX10316,2026-07-10,S003,P006,2,34.99,69.98
TX10317,2026-07-10,S003,P006,1,34.99,34.99
TX10318,2026-07-10,S003,P007,1,9.99,9.99
TX10319,2026-07-10,S003,P007,2,9.99,19.98
TX10320,2026-07-10,S003,P007,1,9.99,9.99
TX10321,2026-07-10,S003,P007,1,9.99,9.99
TX10322,2026-07-10,S003,P008,2,12.99,25.98
TX10323,2026-07-10,S003,P008,1,12.99,12.99
TX10324,2026-07-10,S003,P009,2,14.99,29.98
TX10325,2026-07-10,S003,P009,2,14.99,29.98
TX10326,2026-07-10,S003,P009,1,14.99,14.99
TX10327,2026-07-10,S003,P012,2,59.99,119.98
TX10328,2026-07-10,S003,P013,3,22.99,68.97
TX10329,2026-07-10,S003,P015,1,11.99,11.99
TX10330,2026-07-10,S004,P001,2,29.99,59.98
TX10331,2026-07-10,S004,P003,2,39.99,79.98
TX10332,2026-07-10,S004,P004,1,149.99,149.99
TX10333,2026-07-10,S004,P006,1,34.99,34.99
TX10334,2026-07-10,S004,P006,1,34.99,34.99
TX10335,2026-07-10,S004,P007,1,9.99,9.99
TX10336,2026-07-10,S004,P007,1,9.99,9.99
TX10337,2026-07-10,S004,P008,3,12.99,38.97
TX10338,2026-07-10,S004,P009,1,14.99,14.99
TX10339,2026-07-10,S004,P010,1,19.99,19.99
TX10340,2026-07-10,S004,P011,1,24.99,24.99
TX10341,2026-07-10,S004,P013,2,22.99,45.98
TX10342,2026-07-11,S001,P001,2,29.99,59.98
TX10343,2026-07-11,S001,P001,1,29.99,29.99
TX10344,2026-07-11,S001,P001,1,29.99,29.99
TX10345,2026-07-11,S001,P001,3,29.99,89.97
TX10346,2026-07-11,S001,P001,2,29.99,59.98
TX10347,2026-07-11,S001,P002,1,89.99,89.99
TX10348,2026-07-11,S001,P003,3,39.99,119.97
TX10349,2026-07-11,S001,P003,1,39.99,39.99
TX10350,2026-07-11,S001,P003,1,39.99,39.99
TX10351,2026-07-11,S001,P003,1,39.99,39.99
TX10352,2026-07-11,S001,P004,1,149.99,149.99
TX10353,2026-07-11,S001,P004,1,149.99,149.99
TX10354,2026-07-11,S001,P005,1,49.99,49.99
TX10355,2026-07-11,S001,P005,1,49.99,49.99
TX10356,2026-07-11,S001,P006,1,34.99,34.99
TX10357,2026-07-11,S001,P006,3,34.99,104.97
TX10358,2026-07-11,S001,P007,1,9.99,9.99
TX10359,2026-07-11,S001,P007,2,9.99,19.98
TX10360,2026-07-11,S001,P007,1,9.99,9.99
TX10361,2026-07-11,S001,P007,3,9.99,29.97
TX10362,2026-07-11,S001,P007,1,9.99,9.99
TX10363,2026-07-11,S001,P007,3,9.99,29.97
TX10364,2026-07-11,S001,P007,2,9.99,19.98
TX10365,2026-07-11,S001,P008,1,12.99,12.99
TX10366,2026-07-11,S001,P008,3,12.99,38.97
TX10367,2026-07-11,S001,P009,1,14.99,14.99
TX10368,2026-07-11,S001,P009,2,14.99,29.98
TX10369,2026-07-11,S001,P009,3,14.99,44.97
TX10370,2026-07-11,S001,P009,3,14.99,44.97
TX10371,2026-07-11,S001,P009,1,14.99,14.99
TX10372,2026-07-11,S001,P010,3,19.99,59.97
TX10373,2026-07-11,S001,P010,1,19.99,19.99
TX10374,2026-07-11,S001,P011,2,24.99,49.98
TX10375,2026-07-11,S001,P012,1,59.99,59.99
TX10376,2026-07-11,S001,P013,3,22.99,68.97
TX10377,2026-07-11,S001,P014,1,32.99,32.99
TX10378,2026-07-11,S001,P015,2,11.99,23.98
TX10379,2026-07-11,S002,P001,1,29.99,29.99
TX10380,2026-07-11,S002,P001,2,29.99,59.98
TX10381,2026-07-11,S002,P003,2,39.99,79.98
TX10382,2026-07-11,S002,P004,1,149.99,149.99
TX10383,2026-07-11,S002,P006,2,34.99,69.98
TX10384,2026-07-11,S002,P007,3,9.99,29.97
TX10385,2026-07-11,S002,P007,2,9.99,19.98
TX10386,2026-07-11,S002,P008,2,12.99,25.98
TX10387,2026-07-11,S002,P009,2,14.99,29.98
TX10388,2026-07-11,S002,P009,1,14.99,14.99
TX10389,2026-07-11,S002,P010,1,19.99,19.99
TX10390,2026-07-11,S002,P011,1,24.99,24.99
TX10391,2026-07-11,S002,P013,3,22.99,68.97
TX10392,2026-07-11,S002,P015,3,11.99,35.97
TX10393,2026-07-11,S003,P001,1,29.99,29.99
TX10394,2026-07-11,S003,P001,1,29.99,29.99
TX10395,2026-07-11,S003,P001,1,29.99,29.99
TX10396,2026-07-11,S003,P002,1,89.99,89.99
TX10397,2026-07-11,S003,P007,3,9.99,29.97
TX10398,2026-07-11,S003,P007,2,9.99,19.98
TX10399,2026-07-11,S003,P008,1,12.99,12.99
TX10400,2026-07-11,S003,P008,1,12.99,12.99
TX10401,2026-07-11,S003,P009,1,14.99,14.99
TX10402,2026-07-11,S003,P009,1,14.99,14.99
TX10403,2026-07-11,S003,P009,2,14.99,29.98
TX10404,2026-07-11,S003,P010,2,19.99,39.98
TX10405,2026-07-11,S003,P011,1,24.99,24.99
TX10406,2026-07-11,S003,P011,1,24.99,24.99
TX10407,2026-07-11,S003,P012,1,59.99,59.99
TX10408,2026-07-11,S003,P015,2,11.99,23.98
TX10409,2026-07-11,S004,P002,2,89.99,179.98
TX10410,2026-07-11,S004,P006,1,34.99,34.99
TX10411,2026-07-11,S004,P007,2,9.99,19.98
TX10412,2026-07-11,S004,P008,2,12.99,25.98
TX10413,2026-07-11,S004,P011,1,24.99,24.99
TX10414,2026-07-11,S004,P011,1,24.99,24.99
TX10415,2026-07-11,S004,P013,1,22.99,22.99
TX10416,2026-07-11,S004,P015,1,11.99,11.99
TX10417,2026-07-12,S001,P001,3,29.99,89.97
TX10418,2026-07-12,S001,P001,1,29.99,29.99
TX10419,2026-07-12,S001,P002,1,89.99,89.99
TX10420,2026-07-12,S001,P002,1,89.99,89.99
TX10421,2026-07-12,S001,P003,1,39.99,39.99
TX10422,2026-07-12,S001,P003,1,39.99,39.99
TX10423,2026-07-12,S001,P003,3,39.99,119.97
TX10424,2026-07-12,S001,P004,3,149.99,449.97
TX10425,2026-07-12,S001,P006,1,34.99,34.99
TX10426,2026-07-12,S001,P006,1,34.99,34.99
TX10427,2026-07-12,S001,P007,2,9.99,19.98
TX10428,2026-07-12,S001,P007,3,9.99,29.97
TX10429,2026-07-12,S001,P007,1,9.99,9.99
TX10430,2026-07-12,S001,P007,1,9.99,9.99
TX10431,2026-07-12,S001,P008,2,12.99,25.98
TX10432,2026-07-12,S001,P008,1,12.99,12.99
TX10433,2026-07-12,S001,P008,3,12.99,38.97
TX10434,2026-07-12,S001,P008,2,12.99,25.98
TX10435,2026-07-12,S001,P009,2,14.99,29.98
TX10436,2026-07-12,S001,P009,3,14.99,44.97
TX10437,2026-07-12,S001,P009,2,14.99,29.98
TX10438,2026-07-12,S001,P009,2,14.99,29.98
TX10439,2026-07-12,S001,P009,1,14.99,14.99
TX10440,2026-07-12,S001,P009,1,14.99,14.99
TX10441,2026-07-12,S001,P010,3,19.99,59.97
TX10442,2026-07-12,S001,P010,2,19.99,39.98
TX10443,2026-07-12,S001,P010,1,19.99,19.99
TX10444,2026-07-12,S001,P011,1,24.99,24.99
TX10445,2026-07-12,S001,P011,1,24.99,24.99
TX10446,2026-07-12,S001,P011,1,24.99,24.99
TX10447,2026-07-12,S001,P012,1,59.99,59.99
TX10448,2026-07-12,S001,P013,3,22.99,68.97
TX10449,2026-07-12,S001,P013,2,22.99,45.98
TX10450,2026-07-12,S001,P013,1,22.99,22.99
TX10451,2026-07-12,S001,P013,3,22.99,68.97
TX10452,2026-07-12,S001,P013,1,22.99,22.99
TX10453,2026-07-12,S001,P015,1,11.99,11.99
TX10454,2026-07-12,S002,P001,3,29.99,89.97
TX10455,2026-07-12,S002,P003,2,39.99,79.98
TX10456,2026-07-12,S002,P003,1,39.99,39.99
TX10457,2026-07-12,S002,P004,1,149.99,149.99
TX10458,2026-07-12,S002,P004,1,149.99,149.99
TX10459,2026-07-12,S002,P007,1,9.99,9.99
TX10460,2026-07-12,S002,P007,3,9.99,29.97
TX10461,2026-07-12,S002,P007,1,9.99,9.99
TX10462,2026-07-12,S002,P008,3,12.99,38.97
TX10463,2026-07-12,S002,P008,1,12.99,12.99
TX10464,2026-07-12,S002,P008,1,12.99,12.99
TX10465,2026-07-12,S002,P009,3,14.99,44.97
TX10466,2026-07-12,S002,P009,3,14.99,44.97
TX10467,2026-07-12,S002,P009,1,14.99,14.99
TX10468,2026-07-12,S002,P010,2,19.99,39.98
TX10469,2026-07-12,S002,P014,1,32.99,32.99
TX10470,2026-07-12,S002,P015,1,11.99,11.99
TX10471,2026-07-12,S002,P015,1,11.99,11.99
TX10472,2026-07-12,S003,P001,2,29.99,59.98
TX10473,2026-07-12,S003,P001,1,29.99,29.99
TX10474,2026-07-12,S003,P002,2,89.99,179.98
TX10475,2026-07-12,S003,P002,1,89.99,89.99
TX10476,2026-07-12,S003,P003,2,39.99,79.98
TX10477,2026-07-12,S003,P004,1,149.99,149.99
TX10478,2026-07-12,S003,P004,1,149.99,149.99
TX10479,2026-07-12,S003,P007,1,9.99,9.99
TX10480,2026-07-12,S003,P007,1,9.99,9.99
TX10481,2026-07-12,S003,P008,2,12.99,25.98
TX10482,2026-07-12,S003,P009,2,14.99,29.98
TX10483,2026-07-12,S003,P009,3,14.99,44.97
TX10484,2026-07-12,S003,P009,3,14.99,44.97
TX10485,2026-07-12,S003,P010,1,19.99,19.99
TX10486,2026-07-12,S003,P010,1,19.99,19.99
TX10487,2026-07-12,S003,P011,1,24.99,24.99
TX10488,2026-07-12,S003,P012,1,59.99,59.99
TX10489,2026-07-12,S003,P013,2,22.99,45.98
TX10490,2026-07-12,S003,P014,1,32.99,32.99
TX10491,2026-07-12,S003,P014,1,32.99,32.99
TX10492,2026-07-12,S003,P015,3,11.99,35.97
TX10493,2026-07-12,S004,P001,2,29.99,59.98
TX10494,2026-07-12,S004,P002,1,89.99,89.99
TX10495,2026-07-12,S004,P007,3,9.99,29.97
TX10496,2026-07-12,S004,P007,1,9.99,9.99
TX10497,2026-07-12,S004,P008,1,12.99,12.99
